AÑO,COD DANE DEPARTAMENTO,NOMBRE DEPARTAMENTO,MATRICULA TOTAL,MATRICULA OFICIAL,MATRICULA NO OFICIAL,MATRICULA URBANA,MATRICULA RURAL,MATRICULA PREJARDÍN Y JARDÍN,MATRICULA TRANSICIÓN,MATRICULA PRIMARIA,MATRICULA SECUNDARIA,MATRICULA MEDIA,ESTABLECIMIENTOS EDUCATIVOS,ESTABLECIMIENTOS OFICIALES,ESTABLECIMIENTOS NO OFICIALES,SEDES,SEDES OFICIALES,SEDES NO OFICIALES,SEDES URBANAS,SEDES RURALES,COBERTURA NETA,COBERTURA BRUTA,SABER 11 DESEMPEÑO  MUY INFERIOR,SABER 11 DESEMPEÑO INFERIOR,SABER 11 DESEMPEÑO BAJO,SABER 11 DESEMPEÑO MEDIO,SABER 11 DESEMPEÑO ALTO,SABER 11 DESEMPEÑO SUPERIOR,SABER 11 DESEMPEÑO MUY SUPERIOR
2012,05,Antioquia,1374366,1203211,171155,1062137,312229,21580,98161,603361,469997,181267,4719,3823,896,5755,4859,896,1767,3988,0.926512842089458,1.05795011441433,0,0.053231939163498,0.216730038022814,0.280101394169835,0.20532319391635,0.14702154626109,0.097591888466413
2012,08,Atlántico,534844,413486,121358,511156,23688,8899,37780,241252,179690,67223,1076,307,769,1279,509,770,1179,100,0.914250702886559,1.00388233879418,0,0.173780487804878,0.195121951219512,0.277439024390244,0.146341463414634,0.134146341463415,0.073170731707317
2012,11,Bogotá. D.C.,1420598,926593,494005,1408947,11651,55432,97328,561867,503395,202576,2440,385,2055,2765,710,2055,2705,60,0.86524016593988,0.928576335677958,0.000937207122774,0,0.016869728209934,0.157450796626054,0.299906279287723,0.278350515463918,0.246485473289597
2012,13,Bolívar,521386,454802,66584,385931,135455,8787,43655,237333,167934,63677,714,327,387,1920,1533,387,822,1098,0.888688932515734,1.03532764568539,0,0.179245283018868,0.383647798742138,0.20440251572327,0.072327044025157,0.072327044025157,0.088050314465409
2012,15,Boyacá,302394,264833,37561,215937,86457,5392,22288,116967,112955,44792,591,302,289,2560,2271,289,614,1946,0.85643081189505,0.999562484013839,0,0.00952380952381,0.120634920634921,0.374603174603175,0.292063492063492,0.114285714285714,0.088888888888889
2012,17,Caldas,195245,177125,18120,138982,56263,3462,13796,82432,68156,27399,371,240,131,1347,1216,131,371,976,0.844987558304706,0.966034675558869,0,0.014778325123153,0.182266009852217,0.403940886699507,0.221674876847291,0.118226600985222,0.059113300492611
2012,18,Caquetá,123105,117870,5235,72110,50995,652,9216,62554,39062,11621,217,181,36,1456,1418,38,148,1308,0.832533581550609,0.982595368394024,0,0.095238095238095,0.253968253968254,0.365079365079365,0.095238095238095,0.158730158730159,0.031746031746032
2012,19,Cauca,333489,313467,20022,153390,180099,1271,24563,159426,110667,37562,738,601,137,2677,2540,137,411,2266,0.833997515466834,1.02154287049678,0,0.110576923076923,0.3125,0.370192307692308,0.110576923076923,0.057692307692308,0.038461538461538
2012,20,Cesar,292968,253256,39712,213893,79075,5993,27927,139369,89103,30576,430,231,199,1463,1264,199,438,1025,0.94011493859939,1.09003650231131,0,0.055555555555556,0.32716049382716,0.395061728395062,0.123456790123457,0.055555555555556,0.04320987654321
2012,23,Córdoba,453834,417893,35941,239289,214545,5062,40270,207705,147901,52896,675,489,186,2078,1892,186,428,1650,0.93691617608598,1.1072533567562,0.004807692307692,0.072115384615385,0.360576923076923,0.341346153846154,0.081730769230769,0.081730769230769,0.057692307692308
