Codigo,Grupos de edad,Total,Hombres,Mujeres
5,Total,"6,221,817","3,039,672","3,182,145"
5,0-4,"521,480","266,699","254,781"
5,5-9,"519,057","266,043","253,014"
5,10-14,"536,277","273,828","262,449"
5,15-19,"569,271","290,792","278,479"
5,20-24,"566,962","287,391","279,571"
5,25-29,"512,421","252,967","259,454"
5,30-34,"457,774","221,416","236,358"
5,35-39,"403,619","192,948","210,671"
5,40-44,"401,851","190,752","211,099"
5,45-49,"410,405","194,582","215,823"
5,50-54,"362,005","169,792","192,213"
5,55-59,"288,842","134,700","154,142"
5,60-64,"221,127","102,134","118,993"
5,65-69,"160,846","73,071","87,775"
5,70-74,"116,664","51,565","65,099"
5,75-79,"87,429","36,897","50,532"
5,80 Y MÁS,"85,787","34,095","51,692"
8,Total,"2,373,550","1,171,625","1,201,925"
8,0-4,"214,494","109,755","104,739"
8,5-9,"218,400","111,714","106,686"
8,10-14,"218,441","111,557","106,884"
8,15-19,"215,331","110,309","105,022"
8,20-24,"211,212","108,451","102,761"
8,25-29,"203,731","101,418","102,313"
8,30-34,"183,697","89,441","94,256"
8,35-39,"156,138","75,758","80,380"
8,40-44,"148,671","70,929","77,742"
8,45-49,"148,630","71,102","77,528"
8,50-54,"127,501","61,158","66,343"
8,55-59,"98,712","47,249","51,463"
8,60-64,"74,903","35,704","39,199"
8,65-69,"52,936","24,696","28,240"
8,70-74,"38,948","17,284","21,664"
8,75-79,"30,434","12,781","17,653"
,80 Y MÁS,"31,371","12,319","19,052"
11,Total,"7,571,345","3,653,868","3,917,477"
11,0-4,"598,534","306,425","292,109"
11,5-9,"595,216","305,149","290,067"
11,10-14,"618,735","315,393","303,342"
11,15-19,"655,005","332,376","322,629"
11,20-24,"639,206","324,149","315,057"
11,25-29,"647,104","314,399","332,705"
11,30-34,"639,309","304,074","335,235"
11,35-39,"564,579","269,475","295,104"
11,40-44,"522,395","246,697","275,698"
11,45-49,"509,122","236,890","272,232"
11,50-54,"448,718","205,433","243,285"
11,55-59,"353,888","159,851","194,037"
11,60-64,"269,007","120,560","148,447"
11,65-69,"196,057","87,102","108,955"
11,70-74,"134,186","57,130","77,056"
11,75-79,"90,537","35,681","54,856"
11,80 Y MÁS,"89,747","33,084","56,663"
13,Total,"2,025,573","1,012,840","1,012,733"
13,0-4,"206,377","105,546","100,831"
13,5-9,"204,292","104,177","100,115"
13,10-14,"207,837","105,677","102,160"
13,15-19,"202,223","104,068","98,155"
13,20-24,"181,933","93,830","88,103"
13,25-29,"159,508","79,985","79,523"
13,30-34,"139,261","68,357","70,904"
13,35-39,"123,064","60,358","62,706"
13,40-44,"119,196","58,460","60,736"
13,45-49,"114,242","56,103","58,139"
13,50-54,"98,053","47,919","50,134"
13,55-59,"77,361","38,010","39,351"
13,60-64,"60,573","29,627","30,946"
13,65-69,"44,629","21,459","23,170"
13,70-74,"33,343","15,644","17,699"
13,75-79,"26,787","11,990","14,797"
13,80 Y MÁS,"26,894","11,630","15,264"
15,Total,"1,271,133","636,039","635,094"
