"codigo","de.0.a.4","de.10.a.14","de.15.a.19","de.20.a.24","de.25.a.29","de.30.a.34","de.35.a.39","de.40.a.44","de.45.a.49","de.5.a.9","de.50.a.54","de.55.a.59","de.60.a.64","de.65.a.69","de.70.a.74","de.75.a.79","mas.de.80","total"
5,521480,536277,569271,566962,512421,457774,403619,401851,410405,519057,362005,288842,221127,160846,116664,87429,85787,6221817
8,214494,218441,215331,211212,203731,183697,156138,148671,148630,218400,127501,98712,74903,52936,38948,30434,31371,2373550
11,598534,618735,655005,639206,647104,639309,564579,522395,509122,595216,448718,353888,269007,196057,134186,90537,89747,7571345
13,206377,207837,202223,181933,159508,139261,123064,119196,114242,204292,98053,77361,60573,44629,33343,26787,26894,2025573
15,113561,126246,117328,99121,86745,81302,80584,81581,76082,121473,66508,56262,46516,36797,30194,25273,25560,1271133
17,81562,82876,85960,91718,75824,61505,57611,61135,63413,82267,58985,51410,40125,29601,22690,17274,18251,982207
18,53606,51594,48149,43693,36185,30185,26383,25063,22830,53011,18437,14719,11536,8504,6376,4967,4277,459515
19,130492,138115,137314,121562,108037,98225,82793,74359,69936,130749,61349,50997,41648,32686,25751,20048,18589,1342650
20,110417,109893,104911,93688,75817,65188,59815,56684,51465,110201,42300,33218,26142,18862,13377,10216,9390,991584
23,178846,167125,167609,153175,126804,109013,96823,93823,87738,172158,73600,58381,45669,34179,26200,20216,21278,1632637
25,236124,239018,242566,239791,204654,172327,158948,159776,156673,235211,134591,106761,83041,63361,49317,38343,37121,2557623
27,66206,59418,56073,53160,38879,26906,21743,19398,17777,63052,16740,13484,9901,6726,5870,5787,4423,485543
41,113076,114977,114942,102755,86571,75537,66882,63494,60923,112493,52761,42332,33110,24764,18666,14180,14484,1111947
44,120269,95834,84660,83072,73093,60193,50525,43835,38053,107007,32004,24212,18700,14338,11150,9696,7891,874532
47,138813,139724,125155,104463,87718,77399,70191,68066,64543,140901,54857,44127,34802,25129,18626,14709,14652,1223875
50,91309,86918,86783,84765,75495,67123,60081,56522,52730,89612,43794,33593,25637,18915,13985,10400,9143,906805
52,163527,168892,160672,146706,139167,129326,109478,101230,90560,165549,74047,60713,50401,40063,31126,24771,24567,1680795
54,127022,137616,132458,118210,105540,91549,80076,77848,75297,128720,65258,52567,40892,30416,22866,17145,17297,1320777
63,45979,47182,50535,47554,40695,36933,34088,35691,37413,45658,34044,28877,22953,17050,12716,9394,9074,555836
66,76491,80057,84789,80251,72002,66659,58987,59261,61664,76576,56174,47613,37309,27866,20883,14843,14485,935910
68,168591,181101,190392,179918,162765,149111,134955,133051,130898,169608,111790,88246,70478,54486,41507,31249,32629,2030775
70,84076,85621,86501,77874,62982,53312,47584,47794,45400,83550,38481,31125,25658,19116,14207,11771,11728,826780
73,128699,135272,134384,124939,96293,80668,79050,82183,86192,132150,77922,64813,52693,40953,31616,23749,24462,1396038
76,362123,378590,403850,396438,367981,337763,305311,297047,294260,358825,256792,206530,160391,118981,91311,69834,68342,4474369
81,33044,30141,26488,21816,18360,15541,14122,13318,12054,32937,10384,7686,5572,4264,3372,2575,1891,253565
85,35668,35945,35703,33225,27063,24153,22798,20858,18102,35784,14274,10877,8223,6037,4190,2666,2320,337886
86,39357,39155,37426,31541,26318,23653,20089,17631,14825,38839,11874,9259,7237,5497,4191,3229,3126,333247
88,6353,6594,6858,6547,5760,5191,4496,4953,5795,6366,5195,3762,2494,1589,1092,813,683,74541
91,10296,9197,8629,8042,5829,3962,3687,3576,3174,9457,2536,1805,1264,853,660,485,247,73699
94,5088,5103,4904,4264,2877,2149,2073,1918,1731,4787,1415,962,765,618,403,278,239,39574
95,14113,12599,12170,10538,7029,5457,5758,5769,5432,13606,4388,3180,2290,1584,1177,856,440,106386
97,5967,5196,4773,4427,3067,2026,1929,1962,1823,5521,1555,1253,919,709,561,408,296,42392
99,9589,8541,7606,6994,4622,2971,3006,3103,2825,8978,2439,1941,1435,1028,873,667,299,66917
